Movie Title,Director,Main Cast
Seven Samurai,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno, Kichijirô Ueda, Jun Tatara, Atsushi Watanabe, Toranosuke Ogawa, Isao Yamagata, Sôjin Kamiyama, Gen Shimizu, Keiji Sakakida, Shinpei Takagi, Shin Ôtomo, Toshio Takahara, Hiroshi Sugi, Hiroshi Hayashi, Sachio Sakai, Sôkichi Maki, Ichirô Chiba, Noriko Sengoku, Noriko Honma, Masanobu Ôkubo, Etsuo Saijô, Minoru Itô, Haruya Sakamoto, Gorô Sakurai, Hideo Shibuya, Kiyoshi Kamoda, Senkichi Ômura, Takashi Narita, Shôichi Hirose, Kôji Uno, Masaaki Tachibana, Kamayuki Tsubono, Taiji Naka, Chindanji Miyagawa, Shigemi Sunagawa, Akira Tani, Akio Kusama, Ryûtarô Amami, Jun Mikami, Haruo Nakajima, Sanpei Mine, Masahide Matsushita, Kaneo Ikeda, Takuzô Kumagai, Ippei Kawagoe, Jirô Suzukawa, Junpei Natsuki, Kyôichi Kamiyama, Haruo Suzuki, Gorô Amano, Akira Kitchôji, Kôji Iwamoto, Hiroshi Akitsu, Akira Yamada, Kazuo Imai, Eisuke Nakanishi, Toku Ihara, Hideo Ôtsuka, Tokio Ôkawa, Yasuhisa Tsutsumi, Yasumasa Ônishi, Tsuneo Katagiri, Megeru Shimoda, Masayoshi Kawabe, Shigeo Katô, Yoshikazu Kawamata, Takeshi Seki, Haruko Toyama, Tsuruko Mano, Matsue Ono, Tsurue Ichimanji, Masako Ôshiro, Kyôko Ozawa, Michiko Kadono, Toshiko Nakano, Shizuko Azuma, Keiko Mori, Michiko Kawabe, Yûko Togawa, Yayoko Kitano, Misao Suyama, Toriko Takahara, Takeshi Katô, Tatsuya Nakadai, Ken Utsui, Ren Yamamoto"
The Wild Bunch,Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien, Warren Oates, Jaime Sánchez, Ben Johnson, Emilio Fernández, Strother Martin, L.Q. Jones, Albert Dekker, Bo Hopkins, Dub Taylor, Paul Harper, Jorge Russek, Alfonso Arau, Chano Urueta, Elsa Cárdenas, Bill Hart, Rayford Barnes, Stephen Ferry, Sonia Amelio, Aurora Clavel, Enrique Lucero, Elizabeth Dupeyrón, Yolanda Ponce, José Chávez, René Dupeyrón, Pedro Galván, Graciela Doring, Major Perez, Fernando Wagner, Ivan J. Rado, Ivan Scott, Señora Madero, Margarito Luna, Chalo González, Lilia Castillo, Elizabeth Unda, Julio Corona, Alyce Allen, Archie Butler, Tap Canutt, Gordon T. Dawson, Dennis Falt, Dennis Feldman, Mickey Gilbert, Robert 'Buzz' Henry, 'Chico' Hernandez, Buck Holland, Walt La Rue, Raul Madero, Erwin Neal, Matthew Peckinpah, Bill Shannon, Jim Sheppard, Jack Williams, Sheb Wooley, Joe Yrigoyen"
Au hasard Balthazar,Robert Bresson,"Anne Wiazemsky, Walter Green, François Lafarge, Jean-Claude Guilbert, Philippe Asselin, Pierre Klossowski, Nathalie Joyaut, Marie-Claire Frémont, Jean-Joël Barbier, Guy Renault, Jean Rémignard, Guy Brejac, Mylène Van der Mersch, Jacques Sorbets, François Sullerot, Henri Fraisse, Gilles Sandier, Dominique Moune, Tord Pååg, René Pascal, Pascale Savornin, Isabelle Petit, Roger Fjellstrom, Isabelle de Winter, Sven Frostenson, José Ruiz Pernias"
The Lady Vanishes,Anthony Page,"Elliott Gould, Cybill Shepherd, Angela Lansbury, Herbert Lom, Arthur Lowe, Ian Carmichael, Gerald Harper, Jenny Runacre, Jean Anderson, Madlena Nedeva, Madge Ryan, Rosalind Knight, Vladek Sheybal, Wolf Kahler, Barbara Markham, Jonathan Hackett, Gary McDermott, Jacki Harding, Hillevi, John Alkin, Jeremy Bulloch, William Hootkins, Jillianne Foot, Helen Lambert, Claus-Dieter Reents, Dan van Husen, Pierre Franckh, Uli Steigberg, Edgar Wenzel, Heinz Winter, Bruno Thost, Claus Fuchs, Peter Schratt, Allan Foenander, Irene Lamb"
Pépé le Moko (re-release),Julien Duvivier,"Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin, Lucas Gridoux, Gilbert Gil, Marcel Dalio, Charles Granval, Gaston Modot, René Bergeron, Paul Escoffier, Roger Legris, Jean Témerson, Robert Ozanne, Philippe Richard, Georges Péclet, Mireille Balin, Line Noro, Fréhel, Olga Lord, Renée Carl, Franck Maurice, Yacef Saadi"
The Treasure of the Sierra Madre,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna, Robert Blake, Guillermo Calles, Roberto Cañedo, Spencer Chan, Jacqueline Dalya, Ralph Dunn, Ernesto Escoto, Pat Flaherty, Martin Garralaga, Jack Holt, John Huston, Francisco Islas, Mario Mancilla, Julian Rivero, Ángela Rodríguez, Jay Silverheels, Ray Spiker, Valdespino, Ildefonso Vega, Harry J. Vejar, Ignacio Villalbazo, Clifton Young"
Pan's Labyrinth,Guillermo del Toro,"Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Ivan Massagué, Gonzalo Uriarte, Eusebio Lázaro, Francisco Vidal, Juanjo Cucalón, Lina Mira, Mario Zorrilla, Sebastián Haro, Mila Espiga, Pepa Pedroche, Lalá Gatóo, Ana Sáez, Chani Martín, Milo Taboada, Fernando Albizu, Pedro G. Marzo, José Luis Torrijo, Íñigo Garcés, Fernando Tielve, Federico Luppi, Chicho Campillo, Pablo Adán, Eduardo Aránega, Luke Burnyeat, Sara Bilbatua, Luis Aguilar, Javier Alvariño, Jesús María Antón Rodríguez, Juan José Barriuso, Carlos Bodega Sánchez, Mariano Buitrago, Juan José Cabrera, Pedro Calderón Muñoz, Antonio Corral Calvo, Pedro Carpio, Angel Cascajares Heranz, Alicia Castro, Emilio Cañuelo, José Cañuelo, Patricia Cuevas, Raul de la Fuente Torralba, Pedro Jesús De la Fuente, Federico del Cerro, Blas Diaz Exposito, Alberto Feito, Enrique A. Feito, José García Donado, Manuel García García, Germán García Hernández, Rubén García Menéndez, Héctor Gil, Carlos Giménez, David González García, Freddy Guzman, Carlos A. Gómez Rodroguez, Luis Gómez Rodríguez, Basilo Gómez Ruiz, Juan Ramón Gómez Ruiz, Basilo Gómez Zambrano, Tomás Gómez, Pedro A. Hernandez Montoya, Francisco Javier Hernandez, Ildefonso Jara, Pablo Jimenez Galan, Amador Jimenez, Stanislav Koychev Tanev, Gabriel Liste, Adrián Iustin Lixandu, Antonio López Palmero, Jesús López Torrealba, Miren Marañón, Ariel Margolis, Manuel Angel Marin Moya, Andres Martinez Descalzo, Francisco Martínez Sánchez, Manuel Marín Segura, Philippe Mayanobe, Allouche Leon McGregor, Rudy Mercado, Pablo Miras, Raúl Monge, Antonio Moya Palomar, José Luis Moya, Ramón Moya, Angel Gil Moñino, Laura Musso, Antonio Muñoz Marin, Juan Carlos Ardura Nachón, Alicia Nicolas Diaz, Javier Orgaz, Jesús Pagador Martin, Antonio Pérez Caro, José Antonio Ramos Muñoz, David Ratón Escarpa, Pilar Revuelta, Angel Rodriguez Pedroviejo, Manuel Romero Romero, Iñaki Rubio, Felix Sampablo García, Sergio Sandoval, Antonio Segura Fernández, José L. Sepulveda Gonzáles, Miguel Sepulveda González, Alejandro Sierra Diez, Francisco Soto García, William Stout, Martín Sánchez Fernández, Iliya Todorov Klinkkov, José Torralba, Rut Villamagna, Raúl Villares, Juan Javier Yubero Gambero, Fernando Yubero, Jesús Álvarez Serrato, Boris Fernández, Drew Struzan, Cristina Perales, Macarena Pombo"
Some Like It Hot,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien, Joe E. Brown, Nehemiah Persoff, Joan Shawlee, Billy Gray, George E. Stone, Dave Barry, Mike Mazurki, Harry Wilson, Beverly Wills, Barbara Drew, Edward G. Robinson Jr., Sam Bagley, Brandon Beach, Phil Bloom, Willie Bloom, Al Breneman, Steve Carruthers, James J. Casino, Noble 'Kid' Chissell, Beulah Christian, Ted Christy, Robert Cole, Marian Collier, Pat Comiskey, Bing Conley, Paul Cristo, Harry Denny, Jimmy Dime, Franklyn Farnum, Joan Fields, Duke Fishman, Mary Foley, George Ford, Paul Frees, Joanne Genthon, Bobby Gilbert, Joseph Glick, Jack Gordon, Joe Gray, Stuart Hall, Sam Harris, Harold 'Tommy' Hart, Ted Hook, Shep Houghton, John Indrisano, Tom Kennedy, Joseph La Cava, George Lake, Carl M. Leviness, King Lockwood, John Logan, Hank Mann, Tiger Joe Marsh, Jack Mather, Tipp McClure, Penny McGuiggan, Frank McLure, Laurie Mitchell, Joan Nicholas, William H. O'Brien, Colleen O'Sullivan, Joe Palma, Helen Perry, Jack Perry, Danny Richards Jr., Edwin Rochelle, John Roy, Cosmo Sardo, Scott Seaton, Sammy Shack, Fred Sherman, Carl Sklover, Bert Stevens, Gloria Tennes, Arthur Tovey, Sid Troy, Ralph Volkie, Tito Vuolo, Sandra Warner, Billy Wayne, Grace Lee Whitney, Phil Benjamin"
North by Northwest,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt, Robert Ellenstein, Les Tremayne, Philip Coolidge, Patrick McVey, Edward Binns, Ken Lynch, Stanley Adams, John Alban, Andy Albin, John Albright, Anne Anderson, Don Anderson, Ernest Anderson, Malcolm Atterbury, Tol Avery, Sam Bagley, Rama Bai, Frank Baker, Baynes Barron, Brandon Beach, John Beradino, Sara Berner, Audrey Betz, Stephen Bolster, Boyd Cabeen, Roger C. Carmel, Steve Carruthers, Gordon Carveth, Taggart Casey, Bill Catching, Bob Coe, David A. Cox, Walter Coy, Jimmy Cross, Lucille Curtis, Patricia Cutts, Jack Daly, John Damler, Lawrence Dobkin, Donna Douglas, Dan Dowling, Ken DuMain, Daniel Elam, Tommy Farrell, Jesslyn Fax, Adolph Faylauer, Bess Flowers, Josephine Forsberg, Sally Fraser, Paul Genge, Kenneth Gibson, Ned Glass, James Gonzalez, Tom Greenway, Robert Haines, Stuart Hall, Len Hendry, Alfred Hitchcock, Stuart Holmes, Hideo Inamura, Eugene Jackson, Bobby Johnson, Dick Johnstone, Sid Kane, Kenner G. Kemp, Madge Kennedy, Colin Kenny, Doreen Lang, Perk Lazelle, Larry Leverett, Carl M. Leviness, Caryl Lincoln, Alexander Lockwood, Leota Lorraine, Frank Marlowe, Nora Marlowe, Tom Marshall, Thomas Martin, James McCallion, Maura McGiveney, Carl Milletaire, Hans Moebus, Howard Negley, Monty O'Grady, Henry O'Neill, John Pedrini, Murray Pollack, Charles Postal, Maudie Prickett, Hugh Pryor, Leonard Murphy, Larry Leverett"
Hoop Dreams,Steve James,"William Gates, Arthur Agee, Emma Gates, Curtis Gates, Sheila Agee, Arthur 'Bo' Agee, Earl Smith, Gene Pingatore, Isiah Thomas, Marlyn Hopewell, Bill Gleason, Patricia Weir, Marjorie Heard, Luther Bedford, Aretha Mitchell, Shannon Johnson, Tomika Agee, Joe 'Sweetie' Agee, Jazz Agee, Catherine Mines, Alicia Mines, Alvin Bibbs, Willie Gates, James Kelly, Michael O'Brie, Dick Vitale, Kevin O'Neill, Bobby Knight, Joey Meyer, Frank DuBois, Spike Lee, Bo Ellis, Bob Gibbons, Dennis Doyle, Clarence Webb, Stan Wilson, Derrick Zinneman, Tim Gray, Myron Gordon, Steve James, Eric Anderson, Bobby Cremins, Juwan Howard, Mike Krzyzewski, Rick Pitino, Jalen Rose, John Thompson, Chris Webber"
Rashomon,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijirô Ueda, Noriko Honma, Daisuke Katô"
The Passion of Joan of Arc,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, Antonin Artaud, Michel Simon, Jean d'Yd, Louis Ravet, Armand Lurville, Jacques Arnna, Alexandre Mihalesco, Léon Larive, Jean Aymé, Camille Bardou, Gilbert Dacheux, Gilbert Dalleu, Paul Delauzac, Dimitri Dimitriev, Fournez-Goffard, Henri Gaultier, Paul Jorge, Marie Lacroix, Henri Maillard, Raymond Narlay"
All About Eve,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Gertrude Astor, Frank Baker, Ralph Brooks, Jack Chefe, Sayre Dearing, Jack Deery, Franklyn Farnum, Bess Flowers, Colin Kenny, Ethelreda Leopold, Carl M. Leviness, Leota Lorraine, William Marion, Thomas Martin, Mathew McCue, Harold Miller, William H. O'Brien, Stanley Orr, Foster H. Phinney, Marion Pierce, Paul Power, Suzanne Ridgway, Ann Robinson, Cosmo Sardo, Larry Steers, Robert Whitney"
Metropolis (re-release),Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm, Fritz Alberti, Grete Berger, Olly Boeheim, Max Dietze, Ellen Frey, Beatrice Garga, Heinrich Gotho, Dolly Grey, Anny Hintze, Gottfried Huppertz, Georg John, Walter Kuehle, Vera Kálmán, Margarete Lanner, Rose Lichtenstein, Hanns Leo Reich, Arthur Reinhardt, Curt Siodmak, Henrietta Siodmak, Olaf Storm, Erwin Vater, Rolf von Goth, Helen von Münchhofen, Helene Weigel, Hilde Woitscheff"
Jules and Jim,François Truffaut,"Jeanne Moreau, Oskar Werner, Henri Serre, Vanna Urbino, Serge Rezvani, Anny Nelsen, Sabine Haudepin, Marie Dubois, Michel Subor, Danielle Bassiak, Elen Bober, Pierre Fabre, Dominique Lacarrière, Bernard Largemains, Kate Noelle, Jean-Louis Richard, Michel Varesano, Christiane Wagner"
My Left Foot,Jim Sheridan,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee, Cyril Cusack, Phelim Drew, Ruth McCabe, Fiona Shaw, Ray McAnally, Pat Laffan, Derry Power, Hugh O'Conor, Darren McHugh, Owen Sharpe, Eileen Colgan, Keith O'Conor, Tom Hickey, Julie Hale, Jacinta Whyte, Sarah Cronin-Stanley, Jean Doyle, Britta Smith, Adrian Dunbar, Lucy Vigne Welsh, Daniel Reardon, Conor Lambert, Martin Dunne, Charlie Roberts, Jer O'Leary, Mil Fleming, Simon Kelly, Eileen Kohlmann, Margaret Lyons, Patricia Higgins, Hilery O'Donovan, Don King, Jenny Bryne, Linda Walker, Albert Kavanagh, Joe Swan, Rita Lowe, Gerard Hourigan, Dawn Kursinczy, Denis O'Leary, Lesley Ann Long, Caromy Corcoran, Cathy Corcoran, Lisa Jane Rowland, Aisling Murnane, Audrey Diffley, Oba Seagrave, Colm Rowland, Owen Sullivan, Dean Clifford, Sean Rowland, Barry Keane, Wayne Kearney, John Mark Knight, Deborah Pierce, Barry Lord, Tess Sheridan, Fiacra Sheridan, Eoghan O'Sullivan, Kerry Ellen Lawlor, Naomi Sheridan, Emily Hodge Barker, Nuala Moiselle"
The Night of the Hunter,Charles Laughton,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason, Evelyn Varden, Peter Graves, Don Beddoe, Billy Chapin, Sally Jane Bruce, Gloria Castillo, Corey Allen, Oscar Blank, Paul Bryar, Nora Bush, Cheryl Callaway, Alexander Campbell, Michael Chapin, Noble 'Kid' Chissell, Mary Ellen Clemons, John Dennis, Roy Engel, Kathy Garver, Rudy Germane, James Griffith, John Hamilton, Joe Hinds, Edna Holland, Anne Kunde, Kay Lavelle, Thomas Martin, Frank Mills, King Mojave, Frances Morris, Gloria Pall, Jack Perry, Mike Ragan, Jean Ransome, Robert Robinson, Edwin Rochelle, Phil Schumacher, Lucile Sewall, Bert Spencer, James Stone, Charles Sullivan, George D. Wallace, Glen Walters, Mildred Gusse"
Ran,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada, Yoshiko Miyazaki, Hisashi Igawa, Pîtâ, Masayuki Yui, Kazuo Katô, Norio Matsui, Toshiya Ito, Kenji Kodama, Takashi Watanabe, Mansai Nomura, Takeshi Katô, Jun Tazaki, Hitoshi Ueki, Takao Zushi, Yoshitaka Zushi, Tetsuo Yamashita, Akihiko Sugizaki, Masaaki Sasaki, Yoshimitsu Yamaguchi, Masuo Amada, Masaru Sakurai, Sakae Kimura, Ryûjirô Oki, Hanbei Kawai, Ryo Nagasawa, Yûichi Hibi, Seizô Katô, Tokie Kanda, Sawako Kochi, Reiko Nanjô, Kumeko Otowa, Heihachiro Suzuki, Susumu Terajima, Haruko Tôgô"
The Third Man,Carol Reed,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard, Paul Hörbiger, Ernst Deutsch, Erich Ponto, Siegfried Breuer, Hedwig Bleibtreu, Bernard Lee, Wilfrid Hyde-White, Nelly Arno, Jack Arrow, Harold Ayer, Harry Belcher, Leo Bieber, Paul Birch, Martin Boddey, Madge Brindley, Robert Brown, Ray Browne, Robin Burns, Paul Carpenter, Marie-Louise Charlier, Alexis Chesnakov, Guy De Monceau, Reed De Rouen, Jack Faint, Peter Fontaine, Thomas Gallagher, Michael Godfrey, Theodore Gottlieb, Vernon Greeves, Herbert Halbik, Paul Hardtmuth, Walter Hertner, Charles Irwin, Lily Kann, Geoffrey Keen, Brookes Kyle, Martin Miller, Hannah Norbert, Eric Pohlmann, Carol Reed, Annie Rosar, Frederick Schrecker, Hugo Schuster, Karel Stepanek, Gordon Tanner, Ernst Ulman, Helga Wahlrow, Jenny Werner"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili, Paul Tamarin, Laurence Herder, Gordon Tanner, John McCarthy, Dan Cressey, John Doye, Peter Evans, Chick Fowles, Victor Harrington, Bob Head, Bill Hibbert, George Holdcroft, Fred Machon, Joe Phelps, Peter Roy, Jeff Silk, Reg Thomason, Burnell Tucker, Martin Voss"
"Quo Vadis, Aida?",Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic, Johan Heldenbergh, Raymond Thiry, Boris Isakovic, Emir Hadzihafizbegovic, Reinout Bussemaker, Teun Luijkx, Juda Goslinga, Jelena Kordic Kuret, Alban Ukaj, Ermin Bravo, Edita Malovcic, Micha Hulshof, Joes Brauers, Sol Vinken, Sanne den Hartogh, Job Raaijmakers, Irena Melcer, Rijad Gvozden, Sasa Orucevic, Jasenko Pasic, Merima Lepic, Kemal Rizvanovic, Emina Muftic, Mario Knezovic, Sanela Krsmanovic, Nusmir Muharemovic, Luna Zimic Mijovic, Jovan Zivanovic, Adi Hrustemovic, Drazen Pavlovic, Aldin Baljic, Alija Aljevic, Hadzija Hadzibajramovic, Hermans Henricius Johannes, Slaven Vidak, Ermin Sijamija, Sasa Krmpotic, Sinisa Udovicic, Irena Mulamuhic, Damir Mahmutovic, Sanin Milavic, Ali Kamer Aksoy, Dalibor Mijan, Thomas Pedevilla, Emir Spahic, Vedran Vilogorac, Mirsad Elezi, Ibrahim Buzaljko, Vitalie Bantas, Nikolina Maric, Niels Gomperts, Thomas Steyaert, Jan Mark Bogmis, Narcisa Cvitanovic, Rebecca van Unen"
Rififi (re-release),Jules Dassin,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset, Robert Hossein, Marcel Lupovici, Dominique Maurin, Magali Noël, Marie Sabouret, Claude Sylvain, Jules Dassin, Armandel, Alain Bouvette, Alice Garan, André Dalibert, Jacques David, Émile Genevois, Marcelle Hainia, Marcel Lesieur, Daniel Mendaille, Huguette Montréal, Lita Recio, Fernand Sardou, Jean Bellanger, Jacques Besnard, Teddy Bilis, Jenny Doria, René Hell, Gilbert Moreau, Maryse Paillet, Marcel Rouzé, Roger Rudel"
Psycho,Gus Van Sant,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen, William H. Macy, Robert Forster, Philip Baker Hall, Anne Haney, Chad Everett, Rance Howard, Rita Wilson, James Remar, James Le Gros, Steven Clark Pachosa, O.B. Babbs, Flea, Marjorie Lovett, Ryan Cutrona, Ken Jenkins, Roy Brocksmith, Rose Marie, Gus Van Sant, Howard Feuer, Meredith Tucker, Dixie Webster"
Gone with the Wind,"Victor Fleming, George Cukor, Sam Wood","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard, Olivia de Havilland, Rand Brooks, Carroll Nye, Clark Gable, Laura Hope Crews, Eddie 'Rochester' Anderson, Harry Davenport, Leona Roberts, Jane Darwell, Ona Munson, Paul Hurst, Isabel Jewell, Cammie King Conlon, Eric Linden, J.M. Kerrigan, Ward Bond, Jackie Moran, Cliff Edwards, Lillian Kemble-Cooper, Yakima Canutt, Marcella Martin, Louis Jean Heydt, Mickey Kuhn, Olin Howland, Irving Bacon, Robert Elliott, William Bakewell, Mary Anderson, John Albright, Eric Alden, John Arledge, Roscoe Ates, Trevor Bardette, Dorothy Barrett, Janet Barrett, Lennie Bluett, John Breen, Ralph Brooks, Morgan Brown, Daisy Bufford, Ann Bupp, James Bush, Ruth Byers, Gary Carlson, Horace B. Carpenter, Louise Carter, Shirley Chambers, Eddy Chandler, Silver Chief, Wallis Clark, Richard Clucas, Frank Coghlan Jr., Billy Cook, Jim Corey, Gino Corrado, Martina Cortina, Luke Cosgrave, Kernan Cripps, Patrick Curtis, Russell Custer, Yola d'Avril, Ned Davenport, Marvin Davis, Dolores Dean, Dawn Dodd, Lester Dorr, Phyllis Douglas, Joan Drake, F. Driver, Edythe Elliott, Susan Falligant, Richard Farnsworth, Frank Faylen, Geraldine Fissette, Charline Flanders, Greg Giese, Kelly Griffin, George Hackathorne, Chuck Hamilton, Evelyn Harding, Lucille Harding, Inez Hatchett, Jean Heker, Ricky Holt, Shep Houghton, Charles Richards, Fred Schuessler, Harvey Clermont, Charles Richards, Fred Schuessler"
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, Luminita Gheorghiu, Adi Carauleanu, Liliana Mocanu, Tania Popa, Teodor Corban, Cerasela Iosifescu, Doru Ana, Eugenia Bosânceanu, Ion Sapdaru, Cristina Burbuz, Marioara Sterian, Emil Coseru, Georgeta Paduraru Burdujan, Geo Dobre, Madalina Ghitescu, Catalina Harabagiu, Sanziana Tarta, Mihaela Alexandru, Hazim E'Layan, Monica Alexandrescu, Simona Stoicescu, Alexandru Conovaru, Ion Grosu, Traian Tudorica State, Cristian Ciuzan, Daniel Cristian Iancu, Robert Emanuel, Constantin Bojog, Cristina Iosif, Adina Cristescu, Calin Puia, Costica Babu, Catalin Dordea"
